time,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,index
2000,9.552851053,-0.753130994,-0.413789113,-0.757290558,0.092701026,-0.530326506,-0.638587278,-0.81549884,-0.743934745,-0.761663106,-0.753196833,-0.782351296,-0.726665212,-0.053073201,-0.055978984,-0.194709863,-1.024937775,0.287978197,-0.734548839,-0.633596001,-0.736033957,0.56993428,-0.742092124,-0.698235501,0.756896716,-0.303309375,-0.74411357,-0.850969543,-0.103710431,-0.702291294,0.174019754,-13.50055088
2001,9.993925859,-0.722454546,-0.301307694,-0.725534017,-0.050259593,0.337365851,-0.523637078,-0.796441527,-0.716167548,-0.72611887,-0.72007292,-0.752884991,-0.695463599,-0.139723324,-0.10762782,-0.302598065,-0.968979711,0.343798852,-0.712222786,-0.52374654,-0.702941327,0.518115567,-0.707706731,-0.682372353,0.892151922,-0.079226211,-0.715933017,-0.792876012,-0.123964995,-0.603724095,0.345007072,-13.11982732
2002,10.93146759,-0.690991694,-0.196206277,-0.693203809,-0.109826517,0.186024161,-0.409485143,-0.768553383,-0.680450596,-0.688989682,-0.69105838,-0.720108438,-0.664694349,-0.053073201,-0.115772019,0.100615562,-0.925091033,0.604638688,-0.674384028,-0.272662056,-0.659133892,0.83349807,-0.628007047,-0.661541776,1.460863844,0.091220024,-0.686540914,-0.745973096,-0.160573564,-0.544583776,0.542397786,-12.79507865
2003,12.85174696,-0.645469503,-0.097721414,-0.645671437,-0.181306827,0.125487485,-0.294534943,-0.715022289,-0.649655491,-0.658386624,-0.658149639,-0.656750611,-0.630639359,0.24153722,-0.08192776,0.980400265,0.850205977,0.657680646,-0.637492755,-0.147119815,-0.61409378,0.599199649,-0.574820856,-0.637187297,1.611819632,0.256183374,-0.643133505,-0.697800553,-0.230114303,-0.406589697,0.935888112,-11.21137175
2004,14.98975482,-0.574690186,-0.00089069,-0.571053809,-0.109826517,0.286918621,-0.196348313,-0.648874009,-0.600551624,-0.613168625,-0.492167231,-0.571288078,-0.582807929,0.24153722,-0.091228708,1.73076426,0.78437296,-0.235545933,-0.57295305,0.056886328,-0.552080657,0.084093902,-0.500617131,-0.58325617,1.461472293,0.439264086,-0.575275236,-0.633179843,-0.323318156,-0.347449377,1.010322438,-9.179585765
2005,17.13512686,-0.500835688,0.096830724,-0.49397761,-0.228960366,0.115398039,-0.098161684,-0.567707194,-0.53832307,-0.549018756,-0.454094349,-0.469543457,-0.524842871,0.622797764,-0.114025262,2.058841014,0.916038993,0.97537601,-0.551096428,-0.100041474,-0.483430044,-0.202894557,-0.416504982,-0.500409824,1.033183919,0.588255551,-0.50465888,-0.420916272,-0.249981557,-0.386876257,1.448740904,-8.70630762
2006,18.76858448,-0.407730944,0.18488179,-0.396864058,-0.33618083,-0.136838112,0.009604129,-0.473549217,-0.462448889,-0.472505807,-0.390373744,-0.349511718,-0.447771053,0.622797764,-0.188310198,2.235631824,0.937983332,0.848311308,-0.48535669,-0.021577573,-0.403400876,-0.603178454,-0.333178917,-0.439267769,0.951418204,0.725327699,-0.415507147,-0.35903014,-0.357208072,-0.268595618,1.604434132,-6.541989406
2007,20.37889583,-0.260904298,0.2715332,-0.242957517,-0.276613906,-0.126748666,0.133335248,-0.352325135,-0.361028353,-0.362215299,-0.206544673,-0.185276468,-0.318573758,0.640127789,-0.314255363,1.996983099,0.905066824,0.749178024,-0.396374427,-0.005884793,-0.27491803,-1.020704928,-0.189348668,-0.351040601,1.016038255,0.865975642,-0.274419848,-0.085743132,-0.35276095,-0.189741859,1.373043285,-4.040556976
2008,20.74002101,-0.11842882,0.357166679,-0.095197403,-0.085999747,-0.066211989,0.221144428,-0.194817719,-0.21157676,-0.211235144,-0.00445125,-0.013289527,-0.205431949,0.466827541,-0.437271795,1.471585241,0.98187201,0.375232217,-0.285421781,0.103964669,-0.1447284,-1.203276517,-0.051658944,-0.253428277,0.944718615,0.98278495,-0.138593055,0.032226288,-0.43608622,-0.170028419,0.938256117,-1.148180541
2009,21.72496957,-0.033576252,0.439619122,-0.009966944,-0.252787136,-0.338627032,0.328910241,0.034849561,-0.083499799,-0.04969618,0.04278967,0.062037995,-0.108966205,0.484157566,-0.470201538,0.198909378,0.97089984,0.183604388,-0.135484706,0.464898614,-0.048010685,-1.006766194,0.061300627,-0.179068793,0.944527975,0.58897071,-0.033026205,0.144672836,-0.45189274,-0.071461219,0.777749813,1.537732223
